customer_id,first_name,last_name,gender,email,city,state,signup_date
1,Karan,Sharma,Male,karan.sharma@gmail.com,Shimla,Himachal Pradesh,10/8/2024
2,Meera,Joshi,Female,meera.joshi@gmail.com,Jaipur,Rajasthan,4/14/2024
3,Abhishek,Singh,Male,abhishek.singh@gmail.com,Surat,Gujarat,3/8/2025
4,Sneha,Sharma,Female,sneha.sharma@gmail.com,Lucknow,Uttar Pradesh,8/11/2024
5,Saurabh,Kaur,Male,saurabh.kaur@gmail.com,Bengaluru,Karnataka,1/28/2024
6,Payal,Mehta,Female,payal.mehta@gmail.com,Gurugram,Haryana,10/27/2025
7,Abhishek,Saxena,Male,abhishek.saxena@gmail.com,Indore,Madhya Pradesh,4/4/2025
8,Muskan,Yadav,Female,muskan.yadav@gmail.com,Visakhapatnam,Andhra Pradesh,1/7/2024
9,Arjun,Arora,Male,arjun.arora@gmail.com,Noida,Uttar Pradesh,12/14/2024
10,Simran,Gupta,Female,simran.gupta@gmail.com,Pune,Maharashtra,12/10/2024
11,Karan,Singh,Male,karan.singh@gmail.com,Kanpur,Uttar Pradesh,4/9/2024
12,Ishita,Kulkarni,Female,ishita.kulkarni@gmail.com,Kochi,Kerala,9/10/2025
13,Nikhil,Srivastava,Male,nikhil.srivastava@gmail.com,Mumbai,Maharashtra,4/15/2025
14,Payal,Patel,Female,payal.patel@gmail.com,Jammu,Jammu & Kashmir,1/22/2025
15,Rohan,Jain,Male,rohan.jain@gmail.com,Chandigarh,Punjab,10/5/2025
16,Swati,Chopra,Female,swati.chopra@gmail.com,Vadodara,Gujarat,1/5/2025
17,Rohit,Mehta,Male,rohit.mehta@gmail.com,Gurugram,Haryana,3/12/2024
18,Sneha,Malhotra,Female,sneha.malhotra@gmail.com,Indore,Madhya Pradesh,10/23/2024
19,Rohan,Kulkarni,Male,rohan.kulkarni@gmail.com,Indore,Madhya Pradesh,4/13/2024
20,Tanvi,Yadav,Female,tanvi.yadav@gmail.com,Nagpur,Maharashtra,10/12/2025
21,Akash,Mishra,Male,akash.mishra@gmail.com,Kochi,Kerala,12/29/2024
22,Ritika,Malhotra,Female,ritika.malhotra@gmail.com,Patna,Bihar,12/19/2025
23,Rohan,Chauhan,Male,rohan.chauhan@gmail.com,Dehradun,Uttarakhand,6/24/2024
24,Payal,Pandey,Female,payal.pandey@gmail.com,Indore,Madhya Pradesh,6/16/2024
25,Rajat,Agarwal,Male,rajat.agarwal@gmail.com,Patna,Bihar,10/17/2025
26,Payal,Joshi,Female,payal.joshi@gmail.com,Kolkata,West Bengal,11/28/2024
27,Amit,Joshi,Male,amit.joshi@gmail.com,Ranchi,Jharkhand,2/2/2024
28,Divya,Agarwal,Female,divya.agarwal@gmail.com,Patna,Bihar,3/8/2024
29,Aditya,Khan,Male,aditya.khan@gmail.com,Nashik,Maharashtra,11/18/2024
30,Ritika,Ghosh,Female,ritika.ghosh@gmail.com,Chennai,Tamil Nadu,2/9/2025
31,Rajat,Gupta,Male,rajat.gupta@gmail.com,Patna,Bihar,5/22/2024
32,Meera,Pandey,Female,meera.pandey@gmail.com,Amritsar,Punjab,7/5/2025
33,Nikhil,Pandey,Male,nikhil.pandey@gmail.com,Surat,Gujarat,3/14/2025
34,Muskan,Agarwal,Female,muskan.agarwal@gmail.com,Kochi,Kerala,8/12/2024
35,Vikas,Kaur,Male,vikas.kaur@gmail.com,Chennai,Tamil Nadu,4/3/2024
36,Sneha,Kulkarni,Female,sneha.kulkarni@gmail.com,Ahmedabad,Gujarat,6/5/2024
37,Arjun,Srivastava,Male,arjun.srivastava@gmail.com,Kolkata,West Bengal,3/8/2025
38,Swati,Singh,Female,swati.singh@gmail.com,Kanpur,Uttar Pradesh,1/25/2025
39,Yash,Iyer,Male,yash.iyer@gmail.com,Ludhiana,Punjab,9/14/2024
40,Payal,Kulkarni,Female,payal.kulkarni@gmail.com,Delhi,Delhi,11/27/2025
41,Karan,Malhotra,Male,karan.malhotra@gmail.com,Nashik,Maharashtra,7/3/2025
42,Simran,Reddy,Female,simran.reddy@gmail.com,Dehradun,Uttarakhand,12/14/2024
43,Karan,Kapoor,Male,karan.kapoor@gmail.com,Noida,Uttar Pradesh,6/10/2024
44,Nandini,Sharma,Female,nandini.sharma@gmail.com,Shimla,Himachal Pradesh,9/26/2024
45,Ankit,Reddy,Male,ankit.reddy@gmail.com,Bhopal,Madhya Pradesh,6/3/2025
46,Neha,Kulkarni,Female,neha.kulkarni@gmail.com,Dehradun,Uttarakhand,11/1/2024
47,Ankit,Chauhan,Male,ankit.chauhan@gmail.com,Pune,Maharashtra,6/5/2024
48,Ishita,Reddy,Female,ishita.reddy@gmail.com,Bhopal,Madhya Pradesh,7/6/2025
49,Ankit,Sharma,Male,ankit.sharma@gmail.com,Bengaluru,Karnataka,11/27/2024
50,Shreya,Sharma,Female,shreya.sharma@gmail.com,Ahmedabad,Gujarat,1/6/2025
51,Harsh,Joshi,Male,harsh.joshi@gmail.com,Mumbai,Maharashtra,9/3/2024
52,Muskan,Singh,Female,muskan.singh@gmail.com,Lucknow,Uttar Pradesh,5/12/2025
53,Rohan,Reddy,Male,rohan.reddy@gmail.com,Amritsar,Punjab,5/8/2024
54,Pooja,Malhotra,Female,pooja.malhotra@gmail.com,Chennai,Tamil Nadu,7/16/2025
55,Arjun,Yadav,Male,arjun.yadav@gmail.com,Ludhiana,Punjab,9/13/2025
56,Sakshi,Mehta,Female,sakshi.mehta@gmail.com,Jammu,Jammu & Kashmir,7/6/2025
57,Aditya,Arora,Male,aditya.arora@gmail.com,Chandigarh,Punjab,2/12/2025
58,Ishita,Iyer,Female,ishita.iyer@gmail.com,Nashik,Maharashtra,6/13/2025
59,Rajat,Patel,Male,rajat.patel@gmail.com,Indore,Madhya Pradesh,8/18/2024
60,Anjali,Nair,Female,anjali.nair@gmail.com,Delhi,Delhi,8/25/2025
61,Abhishek,Joshi,Male,abhishek.joshi@gmail.com,Surat,Gujarat,8/13/2024
62,Priya,Singh,Female,priya.singh@gmail.com,Gurugram,Haryana,10/8/2025
63,Amit,Joshi,Male,amit.joshi2@gmail.com,Lucknow,Uttar Pradesh,2/2/2024
64,Divya,Singh,Female,divya.singh@gmail.com,Ludhiana,Punjab,8/31/2024
65,Nikhil,Malhotra,Male,nikhil.malhotra@gmail.com,Chennai,Tamil Nadu,8/7/2024
66,Payal,Gupta,Female,payal.gupta@gmail.com,Shimla,Himachal Pradesh,8/7/2025
67,Rohit,Bansal,Male,rohit.bansal@gmail.com,Indore,Madhya Pradesh,4/29/2025
68,Sakshi,Mehta,Female,sakshi.mehta2@gmail.com,Ahmedabad,Gujarat,4/9/2024
69,Mohit,Tiwari,Male,mohit.tiwari@gmail.com,Noida,Uttar Pradesh,2/24/2025
70,Nandini,Kulkarni,Female,nandini.kulkarni@gmail.com,Shimla,Himachal Pradesh,2/25/2024
71,Karan,Verma,Male,karan.verma@gmail.com,Kanpur,Uttar Pradesh,12/13/2024
72,Neha,Joshi,Female,neha.joshi@gmail.com,Pune,Maharashtra,7/13/2024
73,Abhishek,Iyer,Male,abhishek.iyer@gmail.com,Jaipur,Rajasthan,3/8/2025
74,Kavya,Yadav,Female,kavya.yadav@gmail.com,Nagpur,Maharashtra,9/12/2024
75,Rohan,Iyer,Male,rohan.iyer@gmail.com,Visakhapatnam,Andhra Pradesh,7/17/2025
76,Neha,Verma,Female,neha.verma@gmail.com,Dehradun,Uttarakhand,7/7/2025
77,Rahul,Singh,Male,rahul.singh@gmail.com,Jammu,Jammu & Kashmir,8/30/2024
78,Kavya,Saxena,Female,kavya.saxena@gmail.com,Chennai,Tamil Nadu,5/7/2025
79,Aditya,Kulkarni,Male,aditya.kulkarni@gmail.com,Kanpur,Uttar Pradesh,3/1/2024
80,Kavya,Agarwal,Female,kavya.agarwal@gmail.com,Delhi,Delhi,2/3/2025
81,Nikhil,Srivastava,Male,nikhil.srivastava2@gmail.com,Visakhapatnam,Andhra Pradesh,4/10/2025
82,Ayesha,Saxena,Female,ayesha.saxena@gmail.com,Gurugram,Haryana,7/23/2025
83,Rakesh,Gupta,Male,rakesh.gupta@gmail.com,Pune,Maharashtra,10/30/2024
84,Ritika,Verma,Female,ritika.verma@gmail.com,Surat,Gujarat,7/9/2025
85,Amit,Pandey,Male,amit.pandey@gmail.com,Hyderabad,Telangana,2/28/2024
86,Sneha,Khan,Female,sneha.khan@gmail.com,Chennai,Tamil Nadu,5/29/2025
87,Ankit,Mishra,Male,ankit.mishra@gmail.com,Mumbai,Maharashtra,6/4/2025
88,Anjali,Kulkarni,Female,anjali.kulkarni@gmail.com,Bhopal,Madhya Pradesh,3/11/2024
89,Yash,Singh,Male,yash.singh@gmail.com,Kolkata,West Bengal,8/28/2024
90,Tanvi,Patel,Female,tanvi.patel@gmail.com,Nashik,Maharashtra,8/6/2025
91,Saurabh,Khan,Male,saurabh.khan@gmail.com,Bengaluru,Karnataka,2/10/2024
92,Swati,Singh,Female,swati.singh2@gmail.com,Noida,Uttar Pradesh,11/4/2025
93,Rohit,Khan,Male,rohit.khan@gmail.com,Ludhiana,Punjab,11/19/2024
94,Simran,Mehta,Female,simran.mehta@gmail.com,Kolkata,West Bengal,11/17/2024
95,Saurabh,Yadav,Male,saurabh.yadav@gmail.com,Kanpur,Uttar Pradesh,5/14/2024
96,Ayesha,Iyer,Female,ayesha.iyer@gmail.com,Hyderabad,Telangana,3/15/2024
97,Rahul,Iyer,Male,rahul.iyer@gmail.com,Bengaluru,Karnataka,7/30/2025
98,Neha,Singh,Female,neha.singh@gmail.com,Amritsar,Punjab,8/6/2024
99,Ankit,Yadav,Male,ankit.yadav@gmail.com,Jaipur,Rajasthan,12/23/2024
100,Anjali,Chopra,Female,anjali.chopra@gmail.com,Indore,Madhya Pradesh,1/13/2025
101,Harsh,Mishra,Male,harsh.mishra@gmail.com,Nagpur,Maharashtra,7/10/2025
102,Ayesha,Chauhan,Female,ayesha.chauhan@gmail.com,Visakhapatnam,Andhra Pradesh,10/31/2025
103,Ankit,Sharma,Male,ankit.sharma2@gmail.com,Kolkata,West Bengal,7/21/2025
104,Ayesha,Malhotra,Female,ayesha.malhotra@gmail.com,Ahmedabad,Gujarat,5/17/2024
105,Nikhil,Patel,Male,nikhil.patel@gmail.com,Nashik,Maharashtra,4/19/2024
